geoid,county,perc_corn,perc_soy,perc_corn_soy
19053,Decatur,10.123099740452354,8.735570386849586,18.85867012730194
19031,Cedar,37.62599774064552,28.127108599020215,65.75310633966573
19027,Carroll,46.55375640312969,33.49489841662632,80.04865481975601
19151,Pocahontas,46.90693962558649,38.550217201207296,85.45715682679378
19109,Kossuth,45.39567034821292,34.61396494861175,80.00963529682467
19085,Harrison,32.70082135800554,25.33738561342226,58.0382069714278
19187,Webster,36.4018983629286,30.631216338719135,67.03311470164773
19101,Jefferson,22.09630055173862,20.329832962008187,42.426133513746805
19121,Madison,16.878927402774156,18.343845017809052,35.22277242058321
19089,Howard,40.469124863685934,26.228871319520177,66.697996183206115
19147,Palo Alto,42.19891198148094,34.452034363618715,76.65094634509965
19159,Ringgold,13.373569452764697,14.836404803923644,28.20997425668834
19045,Clinton,33.34709068091672,21.23270633421876,54.57979701513548
19025,Calhoun,39.73592474195448,34.281290344535684,74.01721508649015
19195,Worth,40.3432504715337,32.21690875863664,72.56015923017034
19013,Black Hawk,34.116772143144246,23.07876318320361,57.19553532634785
19039,Clarke,11.596920317392758,10.026753412580184,21.623673729972943
19065,Fayette,35.87666727731107,21.85583557963239,57.73250285694346
19181,Warren,15.460434834285923,16.222277612184868,31.68271244647079
19001,Adair,28.42840333252523,28.660544817024498,57.08894814954973
19037,Chickasaw,41.63603175818846,25.025848204028488,66.66187996221694
19081,Hancock,47.67430680407021,31.5317266880433,79.2060334921135
19061,Dubuque,22.490597482152108,6.637689645594517,29.128287127746624
19157,Poweshiek,33.624572415287346,29.94099713958685,63.5655695548742
19165,Shelby,40.04203672567316,32.87633095048898,72.91836767616213
19011,Benton,37.63136728155005,29.99934520981159,67.63071249136163
19185,Wayne,17.001602922537838,16.446668654787644,33.448271577325485
19097,Jackson,16.702154502831977,7.890634030544208,24.592788533376186
19113,Linn,29.025033334158586,19.75513098467513,48.78016431883371
19059,Dickinson,34.851918004003174,30.64143333069598,65.49335133469916
19043,Clayton,17.239985924229412,8.133469319591564,25.373455243820978
19021,Buena Vista,42.48241685157174,38.23097341486814,80.71339026643989
19129,Mills,32.86688054293949,31.385577428891075,64.25245797183057
19049,Dallas,28.823068116040723,25.71104949095985,54.534117607000574
19125,Marion,18.10450908724949,17.65294849567481,35.7574575829243
19123,Mahaska,30.959928445261525,26.419266608990306,57.37919505425183
19007,Appanoose,9.476482159308782,9.80204676178382,19.2785289210926
19177,Van Buren,13.297273318894076,13.405122886224744,26.70239620511882
19103,Johnson,22.06373710700341,18.362425801792043,40.42616290879545
19197,Wright,43.10195779303331,35.84843887931847,78.95039667235179
19137,Montgomery,35.1107681866658,31.53281840804059,66.64358659470639
19175,Union,19.738828568148804,17.90287019407753,37.64169876222633
19107,Keokuk,28.233273662025237,24.71984982230884,52.95312348433408
19169,Story,38.763421083081624,30.84216846593084,69.60558954901246
19131,Mitchell,46.20079917590177,26.320121731713936,72.5209209076157
19075,Grundy,38.35583949963035,29.82732187525216,68.1831613748825
19191,Winneshiek,31.31561861848531,13.58125055491432,44.89686917339963
19153,Polk,17.086946885255276,14.659743082458949,31.746689967714225
19161,Sac,38.525451580518755,32.70053037401971,71.22598195453847
19127,Marshall,36.94487812785272,30.77309399696848,67.7179721248212
19055,Delaware,44.844477100171446,15.546733474242076,60.39121057441352
19051,Davis,12.57816830435878,11.781683043587805,24.359851347946584
19067,Floyd,40.44613949938772,27.73484979749545,68.18098929688317
19009,Audubon,33.55371340189401,31.137899221230292,64.6916126231243
19105,Jones,35.21398470525827,18.9395162486038,54.153500953862064
19083,Hardin,42.53986747251147,25.05988548805122,67.59975296056268
