"county","direct_estimate","fh_estimate","fitted_value","random_effects","shrinkage_factor","delta"
"Clinton",0.031128047380745,0.0316154700659493,0.0679310684243379,-0.0363155983583886,0.98675590559191,-0.000487422685204252
"Worth",0.086978255436141,0.0830479257771064,0.0679310684243379,0.0151168573527685,0.793653012563006,0.0039303296590346
"Clay",0.067985917202865,0.0679822059216463,0.0679310684243379,5.11374973084036e-05,0.932336119082602,3.71128121871844e-06
"Scott",0.011593337848231,0.0116799362445477,0.0679310684243379,-0.0562511321797902,0.998462870345839,-8.6598396316662e-05
"Emmet",0.059143029571515,0.0599446041062476,0.0679310684243379,-0.00798646431809026,0.908788007409056,-0.000801574534732605
"Plymouth",0.069304733727811,0.0692293862219325,0.0679310684243379,0.00129831779759467,0.945148570260928,7.53475058784536e-05
"Franklin",0.094795940401641,0.0908750124158161,0.0679310684243379,0.0229439439914782,0.854050002950415,0.00392092798582488
"Greene",0.092462546816479,0.0877115680544682,0.0679310684243379,0.0197804996301303,0.806331331277088,0.00475097876201085
"Carroll",0.07419293939966,0.0738877590209992,0.0679310684243379,0.00595669059666129,0.951263706987329,0.000305180378660841
"Lucas",0.050453098212099,0.0525834102228449,0.0679310684243379,-0.015347658201493,0.878114450083331,-0.00213031201074589
"Davis",0.120129064283941,0.0996384855029075,0.0679310684243379,0.0317074170785696,0.607445105054473,0.0204905787810336
"Calhoun",0.084745762711864,0.0831476623560075,0.0679310684243379,0.0152165939316696,0.904958108156503,0.00159810035585652
"Marion",0.02249053030303,0.023414313602885,0.0679310684243379,-0.0445167548214529,0.97967050263822,-0.000923783299855006
"Lee",0.039593293380917,0.0406962892560795,0.0679310684243379,-0.0272347791682584,0.961076835655854,-0.00110299587516251
"Keokuk",0.125109361329834,0.114919372838516,0.0679310684243379,0.0469883044141786,0.821785716685186,0.0101899884913175
"Sac",0.085004965243297,0.083483583648232,0.0679310684243379,0.0155525152238942,0.910894296059259,0.00152138159506494
"Adair",0.153552953988565,0.135812833360265,0.0679310684243379,0.0678817649359274,0.792808573282441,0.0177401206282998
"Des Moines",0.02568089212953,0.0264088773876006,0.0679310684243379,-0.0415221910367372,0.98276965158699,-0.000727985258070628
"Woodbury",0.024796840586314,0.0252346317602853,0.0679310684243379,-0.0426964366640526,0.989850492383561,-0.00043779117397125
"Sioux",0.091361777964147,0.0894362893431181,0.0679310684243379,0.0215052209187802,0.91782200971091,0.00192548862102891
"Mitchell",0.107316196296962,0.101759035846856,0.0679310684243379,0.0338279674225183,0.858902058968088,0.00555716045010583
"Shelby",0.103862660944206,0.0990521065762124,0.0679310684243379,0.0311210381518746,0.86611908822762,0.00481055436799357
"Butler",0.065706955530217,0.0658230421375193,0.0679310684243379,-0.00210802628681855,0.94780543397362,-0.000116086607302321
"Wapello",0.036597906962676,0.0378826630267136,0.0679310684243379,-0.0300484053976242,0.958996921979622,-0.00128475606403762
"Henry",0.038805342307288,0.039316265831982,0.0679310684243379,-0.0286148025923558,0.982457998724538,-0.000510923524694042
"Washington",0.060355835532476,0.0608372663790273,0.0679310684243379,-0.00709380204531052,0.936446726665189,-0.000481430846551348
"Cedar",0.056907964979714,0.057850185251947,0.0679310684243379,-0.0100808831723909,0.9145231397885,-0.000942220272233014
"Jefferson",0.013188822146775,0.0139555539621762,0.0679310684243379,-0.0539755144621617,0.985993782361185,-0.000766731815401161
"Hamilton",0.085662381218558,0.0836019114620442,0.0679310684243379,0.0156708430377063,0.883794856002682,0.00206046975651385
"Crawford",0.073710073710074,0.0730808574617977,0.0679310684243379,0.00514978903745983,0.891120319645778,0.000629216248276304
"Fayette",0.07452737405748,0.0742749963144733,0.0679310684243379,0.00634392789013546,0.961739531634399,0.000252377743006668
"Story",0.026803535785572,0.0271527139154069,0.0679310684243379,-0.040778354508931,0.991509869242538,-0.000349178129834905
"Adams",0.117075956596231,0.103649624094889,0.0679310684243379,0.0357185556705513,0.726801036673828,0.0134263325013418
"Black Hawk",0.009892059292222,0.0100062135732865,0.0679310684243379,-0.0579248548510514,0.998033145589983,-0.000114154281064508
"Delaware",0.092485549132948,0.0894157274848799,0.0679310684243379,0.021484659060542,0.874979166348581,0.00306982164806813
"Guthrie",0.070357341233105,0.0701867442882689,0.0679310684243379,0.00225567586393099,0.929687649212528,0.000170596944836135
"Grundy",0.086600535348764,0.0853523613118302,0.0679310684243379,0.0174212928874923,0.933143563124412,0.00124817403693378
"Palo Alto",0.123624595469256,0.113379367860399,0.0679310684243379,0.0454482994360608,0.816042758423356,0.0102452276088573
"Hardin",0.111502062606164,0.107574288471362,0.0679310684243379,0.0396432200470243,0.909853465394642,0.00392777413480185
"Cherokee",0.090589417280643,0.0880715246717068,0.0679310684243379,0.020140456247369,0.888875724135763,0.00251789260893616
"Pocahontas",0.128473259635494,0.118317726009448,0.0679310684243379,0.0503866575851104,0.832256919961391,0.0101555336260457
"Audubon",0.162663755458515,0.132892965511821,0.0679310684243379,0.0649618970874835,0.685738989584945,0.0297707899466937
"Benton",0.044486262702296,0.0452584968859925,0.0679310684243379,-0.0226725715383453,0.967061608748137,-0.000772234183696541
"Union",0.055415617128463,0.056158159756556,0.0679310684243379,-0.0117729086677819,0.94066992787246,-0.000742542628092972
"Floyd",0.069373487496639,0.069232128572337,0.0679310684243379,0.00130106014799907,0.901998713815848,0.00014135892430206
"Clarke",0.041363636363636,0.0433032830254328,0.0679310684243379,-0.024627785398905,0.926991564056131,-0.00193964666179685
"Ida",0.108972544579677,0.0993851371128418,0.0679310684243379,0.031454068688504,0.766397109340134,0.00958740746683517
